season_label,event_date,title,body,era_key,impact_area,player_key,source_key
1994-95,1995-04-23,Periodo pre Curry instavel,Antes de Curry os Warriors viviam uma rotina de reconstrucao quase permanente. A franquia tinha lampejos competitivos mas nao sustentava presenca constante em playoffs. Essa base explica por que a chegada de um armador capaz de reorganizar ataque identidade e audiencia muda a escala da historia.,pre_curry,court,,wikipedia_warriors_seasons
2006-07,2007-05-03,We Believe,Em 2007 o time de Baron Davis eliminou Dallas e devolveu energia a Oakland. Foi um momento cultural poderoso porque mostrou uma torcida pronta para abraçar um time eletrico. Mesmo assim o ciclo nao virou uma estrutura vencedora duradoura e a franquia voltou a procurar uma base mais estavel.,pre_curry,culture,,wikipedia_warriors_seasons
2009-10,2009-06-25,Draft de Stephen Curry,Curry chega como a setima escolha de 2009 e muda o eixo do projeto. No inicio ainda havia duvidas sobre fisico tornozelos e encaixe ao lado de outros armadores. O ponto importante para a narrativa e que a franquia ganha um ativo raro que combina eficiencia tecnica carisma e uma forma nova de atacar.,arrival,court,curry,nba_curry_profile
2012-13,2013-05-02,Primeira virada competitiva,A temporada 2012-13 marca a primeira traducao clara do potencial em resultado coletivo. Golden State volta aos playoffs vence uma serie e passa a ser visto como um time em ascensao. O dado de vitorias deixa de contar apenas sobrevivencia e começa a indicar uma curva de crescimento.,arrival,court,curry,wikipedia_warriors_seasons
2014-15,2015-06-16,Primeiro titulo moderno,O titulo de 2015 consolida a mudanca de patamar. Curry vira MVP de temporada regular e o estilo com espaçamento velocidade e arremesso de tres passa de curiosidade para modelo de liga. A franquia deixa de ser promessa e se torna referencia tecnica e comercial.,dynasty,titles,curry,wikipedia_warriors_seasons
2015-16,2016-04-13,Setenta e tres vitorias,A campanha de 73 vitorias transforma os Warriors em fenomeno nacional. Mesmo sem titulo no final o recorde aumenta a relevancia de TV debates e memoria esportiva. Para o projeto de dados essa temporada funciona como pico estatistico da fase Oracle.,dynasty,court,curry,wikipedia_warriors_seasons
2016-17,2017-06-12,Titulo com audiencia global,A chegada de Kevin Durant amplia a sensacao de supertime e aumenta o alcance global da dinastia. O time vence o titulo com dominio e a audiencia das finais reforça que os Warriors ja eram um produto central da NBA. Aqui a narrativa mistura desempenho de quadra e capacidade de gerar atencao.,dynasty,media,curry,espn_press_room
2017-18,2018-06-08,Bicampeonato da dinastia,O titulo de 2018 confirma que o modelo nao era um acidente de uma temporada. Curry Durant Klay e Draymond mantem a franquia no centro da liga e reforçam o valor da marca. Esse evento ajuda a separar anos de titulo de fases comuns da era Curry.,dynasty,titles,curry,wikipedia_warriors_seasons
2018-19,2019-06-13,Fim da sequencia em Oracle,A ultima final antes da mudanca para San Francisco tambem fecha simbolicamente a fase Oracle. Lesoes e desgaste mostram que a dinastia precisava se reinventar. Ao mesmo tempo a franquia estava prestes a trocar uma casa historica por uma arena capaz de mudar a economia do negocio.,dynasty,business,curry,wikipedia_warriors_seasons
2019-20,2019-10-24,Chase Center,O Chase Center inaugura uma etapa diferente. A temporada em quadra foi ruim por lesoes e transicao mas a arena passa a ser a casa permanente dos Warriors em San Francisco desde 2019-20. Por isso Chase nao deve ser tratado como apenas duas temporadas e sim como dimensao de arena.,chase_reset,finance,,forbes_warriors
2020-21,2021-05-21,Curry carrega a ponte competitiva,Em 2020-21 Curry volta a produzir em nivel de elite e ajuda a manter a relevancia do time mesmo sem uma campanha de titulo. Essa fase mostra que a marca Warriors continuava dependente do seu principal ativo esportivo. O dado individual sustenta a narrativa enquanto o elenco ainda era refeito.,chase_reset,court,curry,basketball_reference_curry
2021-22,2022-06-16,Titulo de 2022,O quarto titulo da era Curry muda o significado da dinastia. Depois de lesoes troca de arena e queda competitiva o time volta ao topo com Curry como Finals MVP. Esse evento precisa aparecer junto dos outros anos de titulo e nao isolado como se fosse a unica temporada campea.,title_2022,titles,curry,wikipedia_warriors_seasons
2023-24,2024-04-16,Rearranjo depois do ultimo titulo,Apos 2022 a franquia entra em fase de ajuste. O nucleo historico ainda existe mas a margem competitiva diminui e o time precisa equilibrar legado salario idade e renovacao. Essa parte da historia explica por que os graficos recentes nao devem ser lidos como simples continuidade da dinastia.,post_title,court,curry,wikipedia_warriors_seasons
2024-25,2025-05-14,Pos Klay e nova janela,A saida de Klay Thompson encerra uma das identidades mais fortes da era Curry. A franquia continua girando em torno de Stephen Curry mas agora precisa provar que ainda consegue competir sem a dupla Splash Brothers original. Esta fase deve aparecer como Pos-Klay e nao como era ativa generica.,post_klay,culture,curry,wikipedia_warriors_seasons
